,total_per_1M,deaths_per_1M,tests_per_1M,deathsPerTotal,iso_alpha,Population_Below_Poverty_National,mean_BMI_men,BMIabove30_men,BMIabove35_men,BMIbelow18_men,mean_BMI_women,BMIabove30_women,BMIabove35_women,BMIbelow18_women,Gross_Domestic_Product_Per_Capita,Prevalence_Child_Malnutrition,Under_Five_Mortality_Rate,Safely_Managed_Drinking_Water_Services,Access_To_Electricity,Renewable_Energy_Consumption,Ambient_Air_Pollution,Carbon_Dioxide_Emissions,Internet_Use,Married_By_Age_18,Women_In_Parliaments,Country,Health_Expenditure_per_Capita,Prevalence_Undernourishment,Adult_Literacy_Rate_Female_2008_2017,Labor_Force_Participation_Female,Labor_Force_Participation_Male,Problems_Accessing_Healthcare_Poorest_MRV,Employed_Children_Total,Teenage_Mothers_Richest_MRV,Life_Expectancy_At_Birth,Population,physician_density,publication_frequency,clinical_trial_frequency
36,3918.0,87.0,134464.0,0.0222052067381317,SRB,26.0,26.7892309846356,0.218618144268841,0.0428074914802871,0.00525653595552733,25.738728132724,0.227939253362546,0.0785448151318276,0.0256168101624851,4.0,,,,1.0,3.0,,,,,,Kosovo,,,,,,,,,72.0,2.0,,8,2
37,3918.0,87.0,134464.0,0.0222052067381317,SRB,26.0,26.7892309846356,0.218618144268841,0.0428074914802871,0.00525653595552733,25.738728132724,0.227939253362546,0.0785448151318276,0.0256168101624851,2.0,6.0,6.0,88.0,1.0,21.0,19.0,5.0,67.0,3.0,34.0,Kosovo,,,,,,,,,72.0,2.0,,8,2
38,3430.0,91.0,80904.0,0.026530612244897958,HUN,15.0,28.3952022845436,0.291237593461531,0.0747175820982341,0.0039602936404376,26.654303846035,0.25636223899731897,0.0884501437163057,0.0251082922524466,4.0,,4.0,82.0,1.0,16.0,25.0,4.0,79.0,,1.0,Hungary,943.0,3.0,99.0,48.0,58.0,,,,76.0,10.0,0.3,8,27
39,3280.0,126.0,80292.0,0.03841463414634146,BGR,23.0,27.322269070888602,0.26372185936371395,0.0595501856385155,0.00313504712908786,25.930154817418103,0.25274956931725195,0.0835404658041998,0.0180456505779492,4.0,,7.0,97.0,1.0,18.0,26.0,6.0,60.0,,24.0,Bulgaria,613.0,5.0,98.0,50.0,56.0,,,,75.0,7.0,0.5714285714285714,5,2
40,1975.0,13.0,132073.0,0.006582278481012658,JOR,14.0,28.505386691940103,0.29171537301412004,0.0794187135127249,0.00847983952923014,30.0877899254599,0.44604160378336793,0.196146268808939,0.0122719627815418,-1.0,8.0,16.0,93.0,1.0,3.0,37.0,3.0,62.0,8.0,15.0,Jordan,224.0,13.0,97.0,14.0,69.0,72.0,1.0,2.0,74.0,10.0,0.3,27,10
41,4501.0,75.0,82617.0,0.016662963785825373,HRV,20.0,28.197628495179,0.249822384460126,0.0568515251401967,0.00313918583512563,27.0333344800707,0.25571522117287604,0.09557099581289802,0.0175249993134617,4.0,,5.0,10.0,1.0,33.0,20.0,4.0,73.0,,19.0,Croatia,885.0,10.0,99.0,46.0,63.0,,,,78.0,4.0,0.75,6,4
42,5120.0,141.0,31436.0,0.0275390625,ALB,14.0,27.174470812988602,0.22373544266215303,0.0450363313425711,0.00362346458643546,26.5075120264678,0.227214849961036,0.0723365799187868,0.0199426311987744,4.0,,9.0,69.0,1.0,39.0,15.0,2.0,66.0,,28.0,Albania,272.0,7.0,96.0,47.0,74.0,95.0,6.0,2.0,78.0,3.0,0.3333333333333333,3,1
43,431.0,4.0,50118.0,0.009280742459396751,MYS,0.0,25.400682894092604,0.134375000979207,0.0330538561808662,0.0565471008808813,26.3042277425187,0.18638586333771198,0.0607532703318664,0.0676448032868668,4.0,3.0,8.0,92.0,1.0,5.0,18.0,8.0,79.0,,1.0,Malaysia,362.0,3.0,91.0,51.0,78.0,,,,75.0,32.0,0.0625,34,53
44,821.0,5.0,2546.0,0.0060901339829476245,GIN,55.0,22.4682291431291,0.0387325238670171,0.00766151303154158,0.111799115090467,23.4842062797538,0.120051266468637,0.0387251615436412,0.0984142343482244,6.0,32.0,101.0,,34.0,76.0,46.0,0.0,10.0,52.0,22.0,Guinea,38.0,26.0,22.0,64.0,68.0,,38.0,18.0,61.0,12.0,0.0,2,2
45,2446.0,16.0,170342.0,0.006541291905151268,GEO,20.0,27.6897713929003,0.19910173903545397,0.053865976555407,0.0130626770514519,27.877630736373803,0.24766027423314102,0.0943774949332045,0.0327800864430648,5.0,,10.0,73.0,1.0,29.0,3.0,2.0,59.0,14.0,16.0,Georgia,308.0,14.0,100.0,58.0,74.0,,32.0,,73.0,4.0,1.25,6,115
46,302.0,2.0,4718.0,0.006622516556291391,MOZ,46.0,22.0672355740446,0.034246457743229,0.00407908706669963,0.121752793945,23.4992509936188,0.110001907577494,0.0289881157575823,0.0965048328581963,1.0,43.0,73.0,,24.0,86.0,21.0,0.0,18.0,48.0,4.0,Mozambique,19.0,40.0,43.0,78.0,83.0,89.0,27.0,26.0,59.0,30.0,0.0,2,2
47,2426.0,43.0,27798.0,0.01772464962901896,JAM,20.0,25.9775814103857,0.158876272931671,0.0407395893519796,0.0427741936088882,29.8659451811224,0.34720230098832006,0.160171622870057,0.0311893560463356,0.0,6.0,14.0,,98.0,17.0,15.0,3.0,44.0,8.0,18.0,Jamaica,296.0,7.0,93.0,60.0,77.0,,6.0,,76.0,3.0,0.3333333333333333,1,9
48,301.0,9.0,2842.0,0.029900332225913623,MWI,52.0,22.5981334848763,0.023087422187452005,0.00248823365395135,0.12605560026366197,23.265323117248602,0.0955869704161931,0.0252950924576094,0.0876723121427726,1.0,37.0,50.0,,11.0,84.0,28.0,0.0,12.0,42.0,17.0,Malawi,30.0,27.0,55.0,73.0,79.0,84.0,49.0,17.0,64.0,18.0,,13,4
49,2022.0,37.0,300630.0,0.018298714144411473,LTU,22.0,27.2183136888473,0.25011711277744,0.0627270886671961,0.00333017084195135,26.0592169103371,0.28940233341112603,0.111789677044123,0.0136286039667098,5.0,,4.0,92.0,1.0,29.0,17.0,4.0,74.0,,21.0,Lithuania,988.0,3.0,100.0,56.0,67.0,,,,75.0,3.0,1.3333333333333333,2,3
50,2800.0,50.0,170651.0,0.017857142857142856,EST,22.0,27.108324383802,0.211251162548515,0.0473178311202438,0.00520014484808485,26.045267070244197,0.227396320812273,0.0785958361627718,0.0212101387174548,5.0,,3.0,82.0,1.0,28.0,6.0,15.0,87.0,,27.0,Estonia,1185.0,6.0,100.0,57.0,67.0,,,,78.0,1.0,3.0,1,2
